"Ajatempel","Kasutajanimi","Nimi","Klass","2. periood hommik 1. valik","2. periood hommik 2. valik","2. periood hommik 3. valik","2. periood õhtu 1. valik","2. periood õhtu 2. valik","2. periood õhtu 3. valik","3. periood hommik 1. valik","3. periood hommik 2. valik","3. periood hommik 3. valik","3. periood õhtu 1. valik","3. periood õhtu 2. valik","3. periood õhtu 3. valik","4. periood hommik 1. valik","4. periood hommik 2. valik","4. periood hommik 3. valik","4. periood õhtu 1. valik","4. periood õhtu 2. valik","4. periood õhtu 3. valik","5. periood hommik 1. valik","5. periood hommik 2. valik","5. periood hommik 3. valik","5. periood õhtu 1. valik","5. periood õhtu 2. valik","5. periood õhtu 3. valik"
"2020/07/08 4:47:07 PM GMT +3","GLzPICD@fakegmail.com","Olivia 1","12","Finantsmõtlemine","Kirjandus ja film","Kirjandus ja film","Prantsuse keel 1","Labortöid füüsikas 10. ja 11. klassile","Programmeerimine keeles Python 1 õhtul","Loomade käitumine 3. periood","Muusikaline kirjaoskus","3D-modelleerimine 3. periood","Fotograafia 1","Fotograafia 1","Vaimne tervis ja selle hoidmine","Ei taha","Kasutame füüsikat!","Joonestamine 4. periood","Millest ELU koosneb?","Majandusõpe","Teater Vanemuise kultuuritänavas","Ei taha","Laboratoorsed tööd bioloogias","Laboratoorsed tööd bioloogias","Projektikirjutamisõpe","CAD joonestamine","Teadusajalugu 5. periood"
"2020/07/08 4:50:38 PM GMT +3","BRJGskJ@fakegmail.com","Sarah 2","12","Orgaaniline arhitektuur","Loominguline joonestamine 1","Kirjandus ja film","Meediakursus","Õpioskused","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Muusikaline kirjaoskus","Keemilised elemendid","Ladina keel 1","Veebidisain","Arvutite riistvara ja lisaseadmed","Sissejuhatus ehitusinseneeriasse","Loogika 4. periood","Joonestamine 4. periood","Loodusteadused, tehnoloogia ja ühiskond","Psühholoogia alused","Majandusõpe","Inimene ja ühiskond 4. periood","Filosoofia 2","Laboratoorsed tööd bioloogias","Ettevõtlusõpe 5. periood","Mobiilirakenduste loomine (APP Inventor)","Karjääriõpetus","Riigikaitse 2"
"2020/07/08 4:50:42 PM GMT +3","SoBDnug@fakegmail.com","Isabella 3","10","Keskkonnakeemia 2. periood","Loominguline joonestamine 1","Globaliseeruv maailm","Inimene ja õigus","Hiina keel 1","Soome keel 1","Muusikaline kirjaoskus","Keemilised elemendid","Loomade käitumine 3. periood","Teadusajalugu 3. periood","Ei taha","Statistiline maailmapilt","Ei taha","Klassikaline skulptuur","Joonestamine 4. periood","Teater Vanemuise kultuuritänavas","Majandusõpe","Ei taha","Programmeerimine keeles Java 2","Globaalne keskkond","Raamatukunst","CAD joonestamine","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2"
"2020/07/08 4:50:47 PM GMT +3","qfijKUY@fakegmail.com","Alyssa 4","12","Programmeerimine keeles Python 1 hommikul","Joonestamine 2. periood","Planimeetria alused","Õpioskused","Linux Raspberry Pi näitel","Programmeerimine keeles Python 1 õhtul","Keemilised elemendid","Natuurist joonistamine","Ei taha","Statistiline maailmapilt","Teadusajalugu 3. periood","Arvutite riistvara ja lisaseadmed","Ei taha","Programmeerimine keeles Python 2","Joonestamine 4. periood","Arvutivõrkude alused","Ei taha","Ei taha","3D-modelleerimine 5. periood","Programmeerimine keeles Java 2","Majandusmatemaatika elemendid","Riigikaitse 2","CAD joonestamine","Projektikirjutamisõpe"
"2020/07/08 4:50:51 PM GMT +3","zLxTzqU@fakegmail.com","Kayla 5","11","Programmeerimine keeles Python 1 hommikul","Joonestamine 2. periood","Joonestamine 2. periood","Ei taha","Linux Raspberry Pi näitel","Hispaania keel 1","Astrofüüsika 3. periood","Astrofüüsika 3. periood","Astrofüüsika 3. periood","Statistiline maailmapilt","Fotograafia 1","Teadusajalugu 3. periood","Köögifüüsika","Ei taha","Köögifüüsika","Riigikaitse 1","Majandusõpe","Riigikaitse 1","Ei taha","Liiklusfüüsika","Programmeerimine keeles Java 2","CAD joonestamine","Ei taha","Teadusajalugu 5. periood"
"2020/07/08 4:50:56 PM GMT +3","cNfsyGX@fakegmail.com","Taylor 6","12","Globaliseeruv maailm","Keskkonnakeemia 2. periood","Loominguline joonestamine 1","Hiina keel 1","Astronoomia","Hispaania keel 1","Programmeerimine keeles Java 1","Loovkirjutamine","Natuurist joonistamine","Ei taha","Sissejuhatus ehitusinseneeriasse","Statistiline maailmapilt","Loominguline joonistamine 2","Praktiline kommunikatsioon","Loomade käitumine 4. periood","Riigikaitse 1","Psühholoogia alused","Arvutivõrkude alused","Raamatukunst","Ettevõtlusõpe 5. periood","Tänavakunst","Karjääriõpetus","Riigikaitse 2","Teadusajalugu 5. periood"
"2020/07/08 4:51:01 PM GMT +3","FnQoWAq@fakegmail.com","Kayla 7","11","Finantsmõtlemine","Ei taha","Loominguline joonestamine 1","Inimene ja õigus","Soome keel 1","Soome keel 1","Ladina keel 1","Astrofüüsika 3. periood","Ajakirjanduse alused","Sissejuhatus ehitusinseneeriasse","Turundus","Teadusajalugu 3. periood","Joonestamine 4. periood","Programmeerimine keeles Python 2","Loomade käitumine 4. periood","Majandusõpe","Ei taha","Majandusõpe","Ettevõtlusõpe 5. periood","Filosoofia 2","Tänavakunst","Riigikaitse 2","Riigikaitse 2","Projektikirjutamisõpe"
"2020/07/08 4:51:06 PM GMT +3","LzAyZQj@fakegmail.com","Lauren 8","12","Programmeerimine keeles Python 1 hommikul","Keskkonnakeemia 2. periood","Planimeetria alused","Inimene ja õigus","Prantsuse keel 1","Astronoomia","Küberkaitse 1","Küberkaitse 1","3D-modelleerimine 3. periood","Keskkonnakeemia 3. periood","Ei taha","Ettevõtlusõpe 3. periood","Programmeerimine keeles Python 2","Loomade käitumine 4. periood","Köögifüüsika","Meditsiinikursus","Teater Vanemuise kultuuritänavas","Inimene ja ühiskond 4. periood","Raamatukunst","Globaalne keskkond","Laboratoorsed tööd bioloogias","Mobiilirakenduste loomine (APP Inventor)","Teadusajalugu 5. periood","Karjääriõpetus"
"2020/07/08 4:51:10 PM GMT +3","wmzBUxu@fakegmail.com","Emma 9","11","Loominguline joonestamine 1","Programmeerimine keeles Python 1 hommikul","Loominguline joonestamine 1","Hispaania keel 1","Programmeerimine keeles Python 1 õhtul","Linux Raspberry Pi näitel","Astrofüüsika 3. periood","Filosoofia 1","Programmeerimine keeles Java 1","Fotograafia 1","Ettevõtlusõpe 3. periood","Vaimne tervis ja selle hoidmine","Matemaatika ajaloo elemente ja rakendusi","Praktiline kommunikatsioon","Köögifüüsika","Inimene ja ühiskond 4. periood","Psühholoogia alused","Ei taha","Laboratoorsed tööd bioloogias","Majandusmatemaatika elemendid","Ettevõtlusõpe 5. periood","Projektikirjutamisõpe","Ei taha","Projektikirjutamisõpe"
"2020/07/08 4:51:15 PM GMT +3","NQAjOss@fakegmail.com","Elizabeth 10","11","Globaliseeruv maailm","Ei taha","Programmeerimine keeles Python 1 hommikul","Hispaania keel 1","Labortöid füüsikas 10. ja 11. klassile","Programmeerimine keeles Python 1 õhtul","Muusikaline kirjaoskus","Ei taha","Muusikaline kirjaoskus","Arvutite riistvara ja lisaseadmed","Inimene ja ühiskond 3. periood","Statistiline maailmapilt","Klassikaline skulptuur","Kujutav geomeetria","Matemaatika ajaloo elemente ja rakendusi","Riigikaitse 1","Millest ELU koosneb?","Teater Vanemuise kultuuritänavas","3D-modelleerimine 5. periood","Majandusmatemaatika elemendid","Ei taha","Teadusajalugu 5. periood","CAD joonestamine","Riigikaitse 2"
"2020/07/08 4:51:20 PM GMT +3","BgszhJy@fakegmail.com","Lauren 11","10","Värvus ja kompositsioon","Globaliseeruv maailm","Geoinformaatika","Programmeerimine keeles Python 1 õhtul","Astronoomia","Inimene ja õigus","3D-modelleerimine 3. periood","Keemilised elemendid","Ei taha","Keskkonnakeemia 3. periood","Inimene ja ühiskond 3. periood","Teadusajalugu 3. periood","Klassikaline skulptuur","Ei taha","Kujutav geomeetria","Majandusõpe","Ei taha","Arvutivõrkude alused","Laboratoorsed tööd bioloogias","Liiklusfüüsika","Tänavakunst","Teadusajalugu 5. periood","Teadusajalugu 5. periood","Karjääriõpetus"
"2020/07/08 4:51:24 PM GMT +3","xDqOlDY@fakegmail.com","Lauren 12","12","Orgaaniline arhitektuur","Globaliseeruv maailm","Planimeetria alused","Programmeerimine keeles Python 1 õhtul","Inimene ja õigus","Hispaania keel 1","Loovkirjutamine","Muusikaline kirjaoskus","Ladina keel 1","Ei taha","Veebidisain","Vaimne tervis ja selle hoidmine","Klassikaline skulptuur","Klassikaline skulptuur","Loodusteadused, tehnoloogia ja ühiskond","Inimene ja ühiskond 4. periood","Millest ELU koosneb?","Majandusõpe","Laboratoorsed tööd bioloogias","Ettevõtlusõpe 5. periood","Liiklusfüüsika","Teadusajalugu 5. periood","Ei taha","Projektikirjutamisõpe"
